Dataset,Model,Params,CV_Accuracy_mean,CV_Accuracy_std,CV_F1_mean,CV_F1_std,Fit_time_mean_s,Fit_time_std_s,Score_time_mean_s,Score_time_std_s,Holdout_Accuracy,Holdout_F1_macro,Holdout_Train_time_s,Holdout_Infer_time_s,Rank_in_dataset_model
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",0.6249893896952721,0.01005088354822275,0.5600244267688869,0.010428613786510787,0.010450983047485351,0.00038163389011445343,0.004913330078125,0.00015163219198639088,0.6558441558441559,0.5946987951807229,0.011754989624023438,0.0038161277770996094,15.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": null, ""svc__gamma"": ""auto""}",0.6249893896952721,0.01005088354822275,0.5600244267688869,0.010428613786510787,0.010206270217895507,0.00010386181031366984,0.004871988296508789,6.0996326373525784e-05,0.6558441558441559,0.5946987951807229,0.01014399528503418,0.0038161277770996094,15.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": null, ""svc__gamma"": 0.01}",0.47656395891690007,0.031373476833401234,0.36723499011782934,0.04334612573930715,0.011155939102172852,0.00018196824447473908,0.004859066009521485,0.00015258905291114645,0.44155844155844154,0.3182160320101032,0.011665105819702148,0.003498077392578125,20.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": null, ""svc__gamma"": 0.001}",0.24208471267294795,0.08025850178207593,0.09976990655251525,0.06512168549974053,0.012050914764404296,0.00017958433132721308,0.00480356216430664,0.00016901032809753176,0.2012987012987013,0.06702702702702704,0.011728763580322266,0.0033898353576660156,22.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": ""scale""}",0.6184873949579832,0.008847152796496881,0.5532407250441572,0.015023714034339754,0.010765600204467773,0.000183861841682057,0.0046675682067871095,0.00010737261113272032,0.6428571428571429,0.5826758390640556,0.010619878768920898,0.0034689903259277344,16.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": ""auto""}",0.6184873949579832,0.008847152796496881,0.5532407250441572,0.015023714034339754,0.01091008186340332,0.0001532699124752983,0.004702949523925781,0.0001975512003765909,0.6428571428571429,0.5826758390640556,0.010668039321899414,0.0033788681030273438,16.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": 0.01}",0.5051778287072405,0.0378263801109359,0.41372273576175084,0.04932433467213725,0.011835336685180664,0.0001307692327389938,0.004677438735961914,0.00013252818785340888,0.4935064935064935,0.39346724882573386,0.011941194534301758,0.003793954849243164,19.0
dataset1,SVM_rbf,"{""svc__C"": 0.1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": 0.001}",0.2997368644427468,0.089794292554379,0.15246076280530166,0.07320605655526057,0.013041973114013672,0.00024710780885385747,0.004771566390991211,0.00022428301221343348,0.2012987012987013,0.06702702702702704,0.012633800506591797,0.003935098648071289,21.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",0.6862490450725744,0.029626811428929468,0.6709531220362401,0.028535329919854538,0.007563209533691407,4.918861311502392e-05,0.004289960861206055,0.00010959794783085855,0.7012987012987013,0.6814495290146956,0.007807016372680664,0.0030908584594726562,10.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": null, ""svc__gamma"": ""auto""}",0.6862490450725744,0.029626811428929468,0.6709531220362401,0.028535329919854538,0.007537364959716797,0.00015531084739595232,0.004219579696655274,0.0001074983237734479,0.7012987012987013,0.6814495290146956,0.0072748661041259766,0.0031442642211914062,10.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": null, ""svc__gamma"": 0.01}",0.6562770562770563,0.016623730816540463,0.5995618497559503,0.02272979492718586,0.007384395599365235,6.900125311519144e-05,0.004235219955444336,0.00014003371901414593,0.6948051948051948,0.6453903298726125,0.007586240768432617,0.003000020980834961,13.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": null, ""svc__gamma"": 0.001}",0.5755708343943639,0.02169965360549309,0.49707084334894674,0.021346108015058155,0.010448026657104491,9.494861190173295e-05,0.0045893192291259766,7.301792316524565e-05,0.5584415584415584,0.4768732345650545,0.010748147964477539,0.0034110546112060547,18.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": ""scale""}",0.6888549359137596,0.028431732083867286,0.6742016899951933,0.026730944866137144,0.0076982975006103516,0.00014188225340084517,0.00414743423461914,6.335183185805797e-05,0.7012987012987013,0.6814495290146956,0.007718086242675781,0.0028998851776123047,9.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": ""auto""}",0.6888549359137596,0.028431732083867286,0.6742016899951933,0.026730944866137144,0.007733821868896484,0.00018437881578483846,0.004201078414916992,0.0001507618992308491,0.7012987012987013,0.6814495290146956,0.00787210464477539,0.0030558109283447266,9.0
dataset1,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": 0.01}",0.65237246413717,0.017165894415715255,0.5961573275213685,0.022871203368509396,0.007702016830444336,0.00010270718184998695,0.004209280014038086,0.00016021678845010693,0.6948051948051948,0.6453903298726125,0.007520914077758789,0.002948284149169922,14.0
