Model,Accuracy,F1_macro,Train_time_s,Infer_time_s,CV_Accuracy_mean,CV_Accuracy_std,CV_F1_mean,CV_F1_std,Wins_Accuracy,Wins_F1_macro
RandomForest,0.9269373394776022,0.8919069419940613,11.978046894073486,0.16206753253936762,0.9246591767559741,0.0091475354548281,0.8907717681375201,0.009502787426039837,3,3
NeuralNet,0.8858476226781481,0.8511625540151336,20.585223376750946,0.028993248939514098,0.8863790909602447,0.0043469600801737465,0.8510344867403005,0.0060285913871260186,0,1
SVM_rbf,0.8505201273452669,0.8083557058525623,46.01115792989731,7.962774574756622,0.8548098176249626,0.013481415962391321,0.8135895874831494,0.013555058368053614,1,0
