Dataset,NeuralNet,RandomForest,SVM_rbf
dataset1,0.7280189658005732,0.8896356672512491,0.6709531220362401
dataset2,0.9999437023451152,0.9999956694651124,0.9997574742285276
dataset3,1.0,0.9930751874558424,0.9137131787309092
dataset4,0.6761752788155136,0.6803805483778766,0.6699345749369205
