Dataset,Model,Accuracy,F1_macro,Train_time_s,Infer_time_s,CV_Accuracy_mean,CV_Accuracy_std,CV_F1_mean,CV_F1_std
dataset1,SVM_rbf,0.7012987012987013,0.6814495290146956,0.1502208709716797,0.06048250198364258,0.6862490450725744,0.029626811428929468,0.6709531220362401,0.028535329919854538
dataset1,RandomForest,0.8961038961038961,0.8962396811965887,0.3133680820465088,0.021005868911743164,0.8893642305407011,0.028039168289492846,0.8896356672512491,0.02746362835889914
dataset1,NeuralNet,0.7337662337662337,0.7284799745900316,1.3102307319641113,0.003317117691040039,0.7317714964773788,0.01321169990598534,0.7280189658005732,0.014768634672645126
dataset2,SVM_rbf,0.9997243368179987,0.9997184941757473,110.28855466842651,17.60002875328064,0.9997625055662759,3.648222085728755e-05,0.9997574742285277,3.725723350255399e-05
dataset2,RandomForest,0.999978795139846,0.9999783473255621,30.925760746002197,0.37505292892456055,0.9999957590279692,8.481944061600188e-06,0.9999956694651125,8.66106977515102e-06
dataset2,NeuralNet,0.9999575902796921,0.9999566943814056,34.31747817993164,0.10294961929321289,0.9999448673635998,2.1624799141585583e-05,0.9999437023451152,2.208202151877393e-05
dataset3,SVM_rbf,0.8850574712643678,0.8831901181525241,0.012665033340454102,0.012982606887817383,0.9143277198609997,0.020334407765018273,0.9137131787309093,0.02060856295464707
dataset3,RandomForest,1.0,1.0,0.40196657180786133,0.026651620864868164,0.9930767174552259,0.005653047194722122,0.9930751874558424,0.00565429211780745
dataset3,NeuralNet,1.0,1.0,0.9682111740112305,0.002804994583129883,1.0,0.0,1.0,0.0
dataset4,SVM_rbf,0.816,0.6690646820672825,73.59319114685059,14.17760443687439,0.8189,0.003927962434760418,0.6699345749369205,0.005039083364210401
dataset4,RandomForest,0.8116666666666666,0.6714097394540943,16.271092176437378,0.22555971145629883,0.8162,0.002889444391035925,0.6803805483778766,0.004884568157677731
dataset4,NeuralNet,0.8096666666666666,0.6762135470890974,45.7449734210968,0.006901264190673828,0.8138,0.004154515615568193,0.6761752788155136,0.00932364885434022
